rank_success_cost_route,label,density,n_eval_units,n_episodes,success_mean,success_std_across_units,cost_mean,cost_std_across_units,route_completion_mean,route_completion_std_across_units,collision_mean,collision_std_across_units,out_of_road_mean,out_of_road_std_across_units,mean_speed_kmh_mean,mean_speed_kmh_std_across_units,mean_lane_deviation_mean,mean_lane_deviation_std_across_units,ttc_risk_mean,ttc_risk_std_across_units,shield_intervention_rate_mean,shield_intervention_rate_std_across_units,overspeed_guard_rate_mean,overspeed_guard_rate_std_across_units,risk_gate_rate_mean,risk_gate_rate_std_across_units,rank_success_cost_route
1,shield_only,0.15,6,300,0.6866666666666665,0.05163977794943222,0.2066666666666667,0.05887840577551899,0.8779140080828323,0.030443122783877962,0.20000000000000004,0.05059644256269408,0.006666666666666667,0.016329931618554522,16.454729314503062,0.3045070244500897,0.10349598269437506,0.03241242379407619,0.015573140627428005,0.0032782094207347815,0.7369019260518552,0.008880314548257025,0.6844219052316317,0.01452960825077642,0.0,0.0,1
2,proposed_gated_risk,0.15,6,300,0.6633333333333333,0.05278888771954441,0.21333333333333335,0.048442405665559865,0.8664950318513213,0.022137794317918413,0.21333333333333335,0.048442405665559865,0.0,0.0,16.251649258758274,0.22435510998469108,0.14417579193958796,0.049909048609348215,0.01663553567455592,0.00317664859607821,0.72331364400828,0.01639660159409737,0.6694689580488925,0.02259667365585237,0.7528858415269487,0.030297199998981075,2
3,guard_only,0.15,6,300,0.6133333333333334,0.07339391437078871,0.24,0.03346640106136303,0.8522528499889926,0.020016141612636276,0.23,0.04335896677735761,0.01,0.016733200530681513,16.24676029873373,0.21620234418310794,0.12967799887629913,0.02067276120298285,0.014241721589576858,0.0011927730324557083,0.7202319557709118,0.01694189864958686,0.666580071646928,0.020759548586079164,0.0,0.0,3
4,retuned_full,0.15,6,300,0.5966666666666667,0.06742897497861486,0.28,0.0737563556583431,0.8379613149302196,0.04374056028003791,0.26666666666666666,0.06889605697474034,0.013333333333333334,0.016329931618554522,16.21475920110783,0.2443779884125871,0.20292946724984864,0.11040569343360568,0.016884112319162956,0.003654867663090205,0.7185186093629762,0.017436409288745812,0.6643436049979927,0.018533709511115083,1.0,0.0,4
5,no_action_guard,0.15,6,300,0.0,0.0,1.0,0.0,0.191237732442459,0.013744886038386936,0.49333333333333335,0.08547904226573122,0.5066666666666667,0.08547904226573123,36.271335775997606,1.7956158719840327,0.3145967326549352,0.055028347305956175,0.18533258205734282,0.036894427793276625,0.0,0.0,0.0,0.0,1.0,0.0,5
6,risk_only,0.15,6,300,0.0,0.0,0.0,0.0,0.009119703925785351,0.00030063221963748285,0.0,0.0,0.0,0.0,0.01350499549429384,9.691156672186245e-05,0.0058980254950232085,0.0004884862486469598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
