variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,0,10000,7,0.0,0,419.02736789147264,246.33929131472172,1.0,0.9909544863372897,0.0,0.0,0.0,0.0,0.0,936,20.270660171486323,0.28053821874464296,0.597469119500887,0.00914160275640778,0.2222222222222222,0.22435897435897437,0.0,
proposed,ppo,0,10001,7,0.0,1,396.9631720497402,229.3954905940621,1.0,0.99063191109509,0.0,0.0,0.0,0.0,0.0,911,20.25663496564785,0.3024199877950919,0.6786986629374644,0.010287587800800278,0.2261251372118551,0.2283205268935236,0.0,
proposed,ppo,0,10002,7,0.0,2,488.27999237110464,302.86107352527483,1.0,0.9911682603497451,0.0,0.0,0.0,0.0,0.0,984,20.275265020740658,0.1942517838269059,0.4519682155197218,0.009365882830054507,0.22357723577235772,0.22560975609756098,0.0,
proposed,ppo,0,10003,7,0.0,3,386.14956853283695,245.03844513592867,1.0,0.9896686799287666,0.0,0.0,0.0,0.0,0.0,826,20.263746056101816,0.2540176171642007,0.6682068649262293,0.008124339623155735,0.2106537530266344,0.21307506053268765,0.0,
proposed,ppo,0,10004,7,0.0,4,336.166071717488,129.06377810955928,1.0,0.990917825446127,0.0,0.0,0.0,0.0,0.0,999,20.30823953865561,0.47961761573179496,0.9600197007757143,0.008031596646861391,0.21021021021021022,0.2122122122122122,0.0,
proposed,ppo,0,10005,7,0.0,5,458.0347346037918,298.2922903002224,1.0,0.9899337243820278,0.0,0.0,0.0,0.0,0.0,868,20.282380654997468,0.14611392587452632,0.4613617742143575,0.007750472599481691,0.20967741935483872,0.2119815668202765,0.0,
proposed,ppo,0,10006,7,0.0,6,482.8550730206144,257.8396913155066,1.0,0.9920841636819788,0.0,0.0,0.0,0.0,0.0,1109,20.32507517853989,0.3004289340361673,0.9800390377454796,0.007588302920680792,0.2110009017132552,0.21280432822362488,0.0,
proposed,ppo,0,10007,7,0.0,7,608.9016455871817,297.6414533950715,1.0,0.9944138768735857,0.0,0.0,0.0,0.0,0.0,1454,20.30690404799035,0.32293199735180544,0.7419615953268156,0.00869496463653228,0.2324621733149931,0.23383768913342504,0.0,
proposed,ppo,0,10008,7,0.0,8,390.9872278269398,231.8101774743027,1.0,0.9907389138710805,0.0,0.0,0.0,0.0,0.0,885,20.246966902425754,0.29604707733743585,0.7610417853018342,0.010314200702781058,0.22372881355932203,0.22598870056497175,0.0,
proposed,ppo,0,10009,7,0.0,9,327.0636528777391,180.54531040401824,1.0,0.9896150037434065,0.0,0.0,0.0,0.0,0.0,824,20.23927320464907,0.37762895202982916,0.6928617258237064,0.009750636916119352,0.220873786407767,0.22330097087378642,0.0,
proposed,ppo,0,10010,7,0.0,10,459.231275732229,266.04411866585696,1.0,0.9918751951575703,0.0,0.0,0.0,0.0,0.0,1012,20.233467166042104,0.268723743490819,0.7135345318586682,0.010450778316463466,0.23517786561264822,0.23517786561264822,0.0,
proposed,ppo,0,10011,7,0.0,11,457.0898743970022,257.8591652918827,1.0,0.992642786431367,0.0,0.0,0.0,0.0,0.0,1055,20.300370297271208,0.3064948256140724,0.40836965512992235,0.007238944600914468,0.21421800947867298,0.2161137440758294,0.0,
proposed,ppo,0,10012,7,0.0,12,372.82208147851134,242.70238487753318,1.0,0.9898381648793317,0.0,0.0,0.0,0.0,0.0,777,20.228640026086925,0.23275619925503604,0.6443929807167478,0.01028502109775768,0.22393822393822393,0.22651222651222652,0.0,
